Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Rangers v Stenhousemuir 4 October 1972,Stenhousemuir,League Cup,Ibrox Park,Home,4,October,1972,1972 - 73,1-2,Lose,T Kellock (East Kilbride),6000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Derek Johnstone,Andy Penman,Phil Bonnyman,Graham Fyfe,Derek Parlane,Alex MacDonald,George Donaldson,,,,,,,,,,
Rangers v Morton 7 October 1972,Morton,League,Ibrox Park,Home,7,October,1972,1972 - 73,1-1,Draw,J Gordon (Newport-on-Tay),30000,Jock Wallace,Peter McCloy,Jim Denny,Willie Mathieson,John Greig,Colin Jackson,George Donaldson,Graham Fyfe,Sandy Jardine,Derek Johnstone,Alex MacDonald,Quinton Young,Derek Parlane,,,,,,,,,,
Rangers v St Johnstone 11 October 1972,St Johnstone,League Cup,Ibrox Park,Home,11,October,1972,1972 - 73,1-1,Draw,J Paterson (Bothwell),15000,Jock Wallace,Peter McCloy,Jim Denny,Willie Mathieson,John Greig,Derek Johnstone,George Donaldson,Graham Fyfe,Sandy Jardine,Derek Parlane,Alfie Conn,Quinton Young,,,,,,,,,,,
Motherwell v Rangers 14 October 1972,Motherwell,League,Fir Park,Away,14,October,1972,1972 - 73,2-0,Win,T Kellock (East Kilbride),17621,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Tom Forsyth,Derek Parlane,Joe Mason,Quinton Young,,,,,,,,,,,
Arbroath v Rangers 21 October 1972,Arbroath,League,Gayfield Park,Away,21,October,1972,1972 - 73,2-1,Win,J Grant (Larbert),8400,Jock Wallace,Gerry Neef,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Tom Forsyth,Derek Parlane,Joe Mason,Quinton Young,,,,,,,,,,,
Rangers v St Johnstone 28 October 1972,St Johnstone,League,Ibrox Park,Home,28,October,1972,1972 - 73,5-1,Win,G Smith (Edinburgh),21000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Tom Forsyth,Derek Parlane,Joe Mason,Quinton Young,George Donaldson,,,,,,,,,,
St Johnstone v Rangers 1 November 1972,St Johnstone,League Cup,Muirton Park,Away,1,November,1972,1972 - 73,2-0,Win,J Paterson (Bothwell),12300,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,George Donaldson,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Dundee v Rangers 4 November 1972,Dundee,League,Dens Park,Away,4,November,1972,1972 - 73,1-1,Draw,A McDonald (Livingston),19600,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,George Donaldson,Derek Parlane,Joe Mason,Quinton Young,,,,,,,,,,,
Rangers v Airdrie 11 November 1972,Airdrie,League,Ibrox Park,Home,11,November,1972,1972 - 73,1-0,Win,T Marshall (Glasgow),17000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,George Donaldson,Derek Parlane,Joe Mason,Alex MacDonald,Graham Fyfe,,,,,,,,,,
Hibs v Rangers 18 November 1972,Hibs,League,Easter Road,Away,18,November,1972,1972 - 73,2-1,Win,A Webster (Falkirk),33356,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Graham Fyfe,Derek Parlane,Joe Mason,Alex MacDonald,,,,,,,,,,,
Rangers v Hibs 22 November 1972,Hibs,League Cup,Hampden Park,Neutral,22,November,1972,1972 - 73,0-1,Lose,J Gordon (Newport-on-Tay),46513,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,Colin Jackson,Derek Johnstone,Dave Smith,Alfie Conn,Graham Fyfe,Derek Parlane,George Donaldson,Alex MacDonald,Quinton Young,,,,,,,,,,
Rangers v Dumbarton 25 November 1972,Dumbarton,League,Ibrox Park,Home,25,November,1972,1972 - 73,3-1,Win,R Padden (Ardossan),14500,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Alex MacDonald,Derek Parlane,Joe Mason,Quinton Young,Tommy McLean,,,,,,,,,,
Rangers v Hearts 2 December 1972,Hearts,League,Ibrox Park,Home,2,December,1972,1972 - 73,0-1,Lose,J McRoberts (Wishaw),27350,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Alex MacDonald,Derek Parlane,Joe Mason,Quinton Young,Tommy McLean,,,,,,,,,,
Dundee Utd v Rangers 9 December 1972,Dundee Utd,League,Tannadice,Away,9,December,1972,1972 - 73,4-1,Win,R Davidson (Airdrie),12500,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,Alex MacDonald,Derek Johnstone,Dave Smith,Tommy McLean,Alfie Conn,Derek Parlane,Joe Mason,Quinton Young,,,,,,,,,,,
Rangers v Aberdeen 16 December 1972,Aberdeen,League,Ibrox Park,Home,16,December,1972,1972 - 73,0-0,Draw,E Thomson (Edinburgh),26375,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,Alex MacDonald,Derek Johnstone,Dave Smith,Tommy McLean,Alfie Conn,Derek Parlane,Joe Mason,Quinton Young,Graham Fyfe,,,,,,,,,,
East Fife v Rangers 23 December 1972,East Fife,League,Bayview,Away,23,December,1972,1972 - 73,4-0,Win,J Paterson (Bothwell),8608,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,Alex MacDonald,Derek Johnstone,Tom Forsyth,Tommy McLean,Joe Mason,Derek Parlane,John Greig,Quinton Young,,,,,,,,,,,
Rangers v Ayr Utd 30 December 1972,Ayr Utd,League,Ibrox Park,Home,30,December,1972,1972 - 73,2-1,Win,E Pringle (Edinburgh),17653,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Dave Smith,Alfie Conn,Tom Forsyth,Derek Parlane,Joe Mason,Quinton Young,Alex MacDonald,,,,,,,,,,
Partick Thistle v Rangers 1 January 1973,Partick Thistle,League,Firhill ,Away,1,January,1973,1972 - 73,1-0,Win,W Anderson (East Kilbride),18500,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Rangers v Celtic 6 January 1973,Celtic,League,Ibrox Park,Home,6,January,1973,1972 - 73,2-1,Win,J Paterson (Bothwell),72000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Falkirk v Rangers 13 January 1973,Falkirk,League,Brockville,Away,13,January,1973,1972 - 73,4-2,Win,J Gordon (Newport-on-Tay),17000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Tom Forsyth,Dave Smith,Tommy McLean,Alfie Conn,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Rangers v Ajax 16 January 1973,Ajax,Challenge Match,Ibrox Park,Home,16,January,1973,1972 - 73,1-3,Lose,A McKenzie (Larbert),58000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Alfie Conn,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,Tommy McLean,Graham Fyfe,,,,,,,,,
Rangers v Kilmarnock 20 January 1973,Kilmarnock,League,Ibrox Park,Home,20,January,1973,1972 - 73,4-0,Win,R Henderson (Dundee),14515,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,George Donaldson,,,,,,,,,,
Ajax v Rangers 24 January 1973,Ajax,Challenge Match,Olympic Stadium (Amsterdam),Away,24,January,1973,1972 - 73,2-3,Lose,Joachim Weyland (West Germany),26168,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Morton v Rangers 27 January 1973,Morton,League,Cappielow Park,Away,27,January,1973,1972 - 73,2-1,Win,R Valentine (Dundee),16000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Alfie Conn,Alex MacDonald,Quinton Young,Graham Fyfe,,,,,,,,,,
Rangers v Dundee Utd 3 February 1973,Dundee Utd,Scottish Cup,Ibrox Park,Home,3,February,1973,1972 - 73,1-0,Win,E Pringle (Edinburgh),35657,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,Joe Mason,,,,,,,,,,
Rangers v Motherwell 10 February 1973,Motherwell,League,Ibrox Park,Home,10,February,1973,1972 - 73,2-1,Win,J Gordon (Newport-on-Tay),27000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Tom Forsyth,Dave Smith,Tommy McLean,Jim Denny,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Rangers v Arbroath 19 February 1973,Arbroath,League,Ibrox Park,Home,19,February,1973,1972 - 73,5-0,Win,E Thomson (Edinburgh),15000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex Miller,Quinton Young,Joe Mason,,,,,,,,,,
Rangers v Hibs 24 February 1973,Hibs,Scottish Cup,Ibrox Park,Home,24,February,1973,1972 - 73,1-1,Draw,R Davidson (Airdrie),63889,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex Miller,Quinton Young,Alfie Conn,,,,,,,,,,
Hibs v Rangers 28 February 1973,Hibs,Scottish Cup,Easter Road,Away,28,February,1973,1972 - 73,2-1,Win,R Davidson (Airdrie),49007,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
St Johnstone v Rangers 3 March 1973,St Johnstone,League,Muirton Park,Away,3,March,1973,1972 - 73,2-1,Win,J McRoberts (Wishaw),12000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,Alex MacDonald,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex Miller,Quinton Young,Joe Mason,,,,,,,,,,
Rangers v Dundee 10 March 1973,Dundee,League,Ibrox Park,Home,10,March,1973,1972 - 73,3-1,Win,A McKenzie (Larbert),32500,Jock Wallace,Peter McCloy,Jim Denny,Willie Mathieson,Sandy Jardine,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,Alex Miller,,,,,,,,,,
Rangers v Airdrie 17 March 1973,Airdrie,Scottish Cup,Ibrox Park,Home,17,March,1973,1972 - 73,2-0,Win,A McKenzie (Larbert),35500,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Airdrie v Rangers 20 March 1973,Airdrie,League,Broomfield Park,Away,20,March,1973,1972 - 73,6-2,Win,A McDonald (Livingston),20000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,Joe Mason,,,,,,,,,,
Rangers v Hibs 24 March 1973,Hibs,League,Ibrox Park,Home,24,March,1973,1972 - 73,1-0,Win,R Davidson (Airdrie),51200,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Dumbarton v Rangers 31 March 1973,Dumbarton,League,Boghead ,Away,31,March,1973,1972 - 73,2-1,Win,J Paterson (Bothwell),13000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,Joe Mason,,,,,,,,,,
Rangers v Ayr Utd 4 April 1973,Ayr Utd,Scottish Cup,Hampden Park,Neutral,4,April,1973,1972 - 73,2-0,Win,R Davidson (Airdrie),51815,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,,,,,,,,,,,
Hearts v Rangers 7 April 1973,Hearts,League,Tynecastle ,Away,7,April,1973,1972 - 73,1-0,Win,T Kellock (East Kilbride),23331,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Quinton Young,Alfie Conn,,,,,,,,,,
Rangers v Dundee Utd 14 April 1973,Dundee Utd,League,Ibrox Park,Home,14,April,1973,1972 - 73,2-1,Win,J Grant (Larbert),38000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,,,,,,,,,,,
Aberdeen v Rangers 21 April 1973,Aberdeen,League,Pittodrie,Away,21,April,1973,1972 - 73,2-2,Draw,J Paterson (Bothwell),33000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Alfie Conn,,,,,,,,,,,
Rangers v East Fife 28 April 1973,East Fife,League,Ibrox Park,Home,28,April,1973,1972 - 73,2-0,Win,T Marshall (Glasgow),27544,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,,,,,,,,,,,
Rangers v Celtic 5 May 1973,Celtic,Scottish Cup,Hampden Park,Neutral,5,May,1973,1972 - 73,3-2,Win,J Gordon (Newport-on-Tay),122714,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,,,,,,,,,,,
Rangers v Montrose 28 July 1973,Montrose,Drybrough Cup,Ibrox Park,Home,28,July,1973,1973 - 74,3-0,Win,E Thomson (Edinburgh),30000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Tom Forsyth,Tommy McLean,Alistair Scott,Derek Parlane,Alex MacDonald,Quinton Young,Stewart Kennedy,Johnny Hamilton,,,,,,,,,
Hibs v Rangers 1 August 1973,Hibs,Drybrough Cup,Easter Road,Away,1,August,1973,1973 - 74,1-2,Lose,A Webster (Falkirk),38089,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Tom Forsyth,Tommy McLean,Alistair Scott,Derek Parlane,Alex MacDonald,Quinton Young,Jim Denny,Johnny Hamilton,,,,,,,,,
Kilmarnock v Rangers 6 August 1973,Kilmarnock,Challenge Match,Rugby Park,Away,6,August,1973,1973 - 74,2-0,Win,A Ferguson (Giffnock),5000,Jock Wallace,Peter McCloy,Jim Denny,Alex Miller,John Greig,Colin Jackson,Dave Smith,Tommy McLean,Alistair Scott,Derek Parlane,George Donaldson,Joe Mason,,,,,,,,,,,
Rangers v Falkirk 11 August 1973,Falkirk,League Cup,Ibrox Park,Home,11,August,1973,1973 - 74,3-1,Win,E Pringle (Edinburgh),35000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alistair Scott,Joe Mason,Alfie Conn,,,,,,,,,,
Arbroath v Rangers 15 August 1973,Arbroath,League Cup,Gayfield Park,Away,15,August,1973,1973 - 74,2-1,Win,J Grant (Larbert),6677,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alistair Scott,Joe Mason,Alfie Conn,Dave Smith,,,,,,,,,
Rangers v Celtic 18 August 1973,Celtic,League Cup,Ibrox Park,Home,18,August,1973,1973 - 74,1-2,Lose,J Paterson (Bothwell),63173,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,Alistair Scott,Dave Smith,,,,,,,,,
Rangers v Arsenal 20 August 1973,Arsenal,Challenge Match,Ibrox Park,Home,20,August,1973,1973 - 74,1-2,Lose,J Paterson (Bothwell),71000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,Alistair Scott,Alex O'Hara,,,,,,,,,
Rangers v Arbroath 22 August 1973,Arbroath,League Cup,Ibrox Park,Home,22,August,1973,1973 - 74,3-0,Win,A Webster (Falkirk),14000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alistair Scott,Eric Morris,Alfie Conn,Dave Smith,,,,,,,,,
Celtic v Rangers 25 August 1973,Celtic,League Cup,Parkhead,Away,25,August,1973,1973 - 74,3-1,Win,J Gordon (Newport-on-Tay),57000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,,,,,,,,,,,
Falkirk v Rangers 29 August 1973,Falkirk,League Cup,Brockville,Away,29,August,1973,1973 - 74,5-1,Win,E Thomson (Edinburgh),12000,Jock Wallace,Stewart Kennedy,Sandy Jardine,Willie Mathieson,George Donaldson,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alistair Scott,Dave Smith,Alfie Conn,Johnny Hamilton,,,,,,,,,
Rangers v Ayr Utd 1 September 1973,Ayr Utd,League,Ibrox Park,Home,1,September,1973,1973 - 74,0-0,Draw,A McDonald (Livingston),30000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Derek Parlane,Dave Smith,Alfie Conn,Jim Denny,,,,,,,,,
Partick Thistle v Rangers 8 September 1973,Partick Thistle,League,Firhill ,Away,8,September,1973,1973 - 74,1-0,Win,R Gordon (Glasgow),22000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alistair Scott,Alfie Conn,Dave Smith,Derek Parlane,,,,,,,,,
Rangers v Dumbarton 12 September 1973,Dumbarton,League Cup,Ibrox Park,Home,12,September,1973,1973 - 74,6-0,Win,G Smith (Edinburgh),25000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,,,,,,,,,,,
Rangers v Celtic 15 September 1973,Celtic,League,Ibrox Park,Home,15,September,1973,1973 - 74,0-1,Lose,A McKenzie (Larbert),70000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,Alistair Scott,,,,,,,,,,
Ankaragücü v Rangers 19 September 1973,Ankaragücü,European Cup-Winners Cup,"19 Mayis, Ankara (Turkey)",Away,19,September,1973,1973 - 74,2-0,Win,Jan Lazowski (Poland),35000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Dave Smith,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,,,,,,,,,,,
Rangers v Hearts 29 September 1973,Hearts,League,Ibrox Park,Home,29,September,1973,1973 - 74,0-3,Lose,A Webster (Falkirk),34654,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Quinton Young,Alistair Scott,Doug Houston,,,,,,,,,
Rangers v Ankaragücü 3 October 1973,Ankaragücü,European Cup-Winners Cup,Ibrox Park,Home,3,October,1973,1973 - 74,4-0,Win,Rolf Nyhus (Norway),30000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alfie Conn,Doug Houston,Alistair Scott,,,,,,,,,,
Arbroath v Rangers 6 October 1973,Arbroath,League,Gayfield Park,Away,6,October,1973,1973 - 74,2-1,Win,C Hutton (Dunfermline),7710,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alistair Scott,Doug Houston,Alfie Conn,,,,,,,,,,
Dumbarton v Rangers 10 October 1973,Dumbarton,League Cup,Boghead ,Away,10,October,1973,1973 - 74,2-1,Win,G Smith (Edinburgh),6000,Jock Wallace,Stewart Kennedy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alistair Scott,Graham Fyfe,Doug Houston,Alfie Conn,Dave Smith,,,,,,,,,
Rangers v East Fife 13 October 1973,East Fife,League,Ibrox Park,Home,13,October,1973,1973 - 74,0-1,Lose,R Henderson (Dundee),25000,Jock Wallace,Stewart Kennedy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alistair Scott,Alex O'Hara,Doug Houston,Graham Fyfe,,,,,,,,,,
Dundee Utd v Rangers 20 October 1973,Dundee Utd,League,Tannadice,Away,20,October,1973,1973 - 74,3-1,Win,R Davidson (Airdrie),11000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alistair Scott,Doug Houston,Alfie Conn,Dave Smith,,,,,,,,,
Borussia Mönchengladbach v Rangers 24 October 1973,Borussia Mönchengladbach,European Cup-Winners Cup,Bökelbergstadion,Away,24,October,1973,1973 - 74,0-3,Lose,Robert Schaut (Belguim),35000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Doug Houston,Alex O'Hara,,,,,,,,,,
Rangers v Hibs 27 October 1973,Hibs,League,Ibrox Park,Home,27,October,1973,1973 - 74,4-0,Win,J Gordon (Newport-on-Tay),35000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alfie Conn,Doug Houston,,,,,,,,,,,
Rangers v Hibs 31 October 1973,Hibs,League Cup,Ibrox Park,Home,31,October,1973,1973 - 74,2-0,Win,A McKenzie (Larbert),35000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alfie Conn,Doug Houston,Alistair Scott,,,,,,,,,,
Dunfermline Athletic v Rangers 3 November 1973,Dunfermline Athletic,League,East End Park,Away,3,November,1973,1973 - 74,2-2,Draw,J Paterson (Bothwell),20000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Alex MacDonald,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Doug Houston,Alex O'Hara,,,,,,,,,,
Rangers v Borussia Mönchengladbach 7 November 1973,Borussia Mönchengladbach,European Cup-Winners Cup,Ibrox Park,Home,7,November,1973,1973 - 74,3-2,Win,Francesco S Lobo (Portugal),40000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alfie Conn,Doug Houston,Quinton Young,,,,,,,,,,
Rangers v Morton 10 November 1973,Morton,League,Ibrox Park,Home,10,November,1973,1973 - 74,1-0,Win,J Grant (Larbert),20000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Alex MacDonald,Tommy McLean,Tom Forsyth,Alex O'Hara,Alfie Conn,Doug Houston,Graham Fyfe,,,,,,,,,,
Rangers v Falkirk 17 November 1973,Falkirk,League,Ibrox Park,Home,17,November,1973,1973 - 74,2-1,Win,R Marshall (Clydebank),15000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Doug Houston,Tommy McLean,Tom Forsyth,Derek Parlane,Derek Johnstone,Alex MacDonald,,,,,,,,,,,
Hibs v Rangers 21 November 1973,Hibs,League Cup,Easter Road,Away,21,November,1973,1973 - 74,0-0,Draw,A McKenzie (Larbert),19245,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Doug Houston,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Alistair Scott,Dave Smith,,,,,,,,,,
Clyde v Rangers 24 November 1973,Clyde,League,Shawfield Park,Away,24,November,1973,1973 - 74,2-0,Win,E Thomson (Edinburgh),15000,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Doug Houston,Tommy McLean,Tom Forsyth,Derek Parlane,Alex MacDonald,Alistair Scott,,,,,,,,,,,
Rangers v Celtic 5 December 1973,Celtic,League Cup,Hampden Park,Neutral,5,December,1973,1973 - 74,1-3,Lose,A McKenzie (Larbert),54864,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Colin Jackson,Doug Houston,Tommy McLean,Tom Forsyth,Derek Parlane,Alfie Conn,Alex MacDonald,Derek Johnstone,,,,,,,,,,
Rangers v St Johnstone 15 December 1973,St Johnstone,League,Ibrox Park,Home,15,December,1973,1973 - 74,5-1,Win,G Smith (Edinburgh),8200,Jock Wallace,Peter McCloy,Sandy Jardine,Willie Mathieson,John Greig,Derek Johnstone,Dave Smith,Quinton Young,Tom Forsyth,Derek Parlane,Alfie Conn,Alex MacDonald,Tommy McLean,,,,,,,,,,
