Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Havelock 10 March 1877,Havelock,Challenge Match,Home,10,March,1877,1876-77,8-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 17 March 1877,Vale of Leven,Scottish Cup,Neutral,17,March,1877,1876-77,1-1,Draw,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick v Rangers 24 March  1877,Partick,Challenge Match,Away,24,March ,1877,1876-77,4-0,Win,James Watt,George Gillespie,R Kerr,W McNeil,S Ricketts,P Campbell,A Marshall,W Dunlop,M McNeil,J Rankine,D Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clydesdale v Rangers 31 March 1877,Clydesdale,Challenge Match,Away,31,March,1877,1876-77,3-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 7 April 1877,Vale of Leven,Scottish Cup,Neutral,7,April,1877,1876-77,1-1,Draw,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven 13 April 1877,Vale of Leven,Scottish Cup,Neutral,13,April,1877,1876-77,2-3,Lose,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 28 April 1877,Queen's Park,Glasgow Merchants Charity Cup,Away,28,April,1877,1876-77,0-4,Lose,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Peter Campbell,W Douglas,James Watson,David Hill,Alex Marshall,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr Thistle v Rangers 12 May 1877,Ayr Thistle,Challenge Match,Away,12,May,1877,1876-77,2-0,Win,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Peter Campbell,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland & Winton (Kilmarnock) v Rangers 19 May 1877,Portland & Winton (Kilmarnock),Challenge Match,Away,19,May,1877,1876-77,4-0,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,James Campbell,James Watson,Unknown or TBC,Peter Campbell,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine v Rangers 24 May 1877,Irvine,Challenge Match,Away,24,May,1877,1876-77,7-1,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
