Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Hibs v Rangers 25 July 2015,Hibs,Challenge Cup,Away,25,July,2015,2015 - 16,6-2,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,David Templeton,Nicky Law,Martyn Waghorn,Dean Shiels,Kenny Miller,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Peterhead 2 August 2015,Peterhead,League Cup,Home,2,August,2015,2015 - 16,3-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Dean Shiels,David Templeton,Nicky Law,Martyn Waghorn,Kenny Miller,Jason Holt,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 7 August 2015,St Mirren,League,Home,7,August,2015,2015 - 16,3-1,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Tom Walsh,Nicky Law,Martyn Waghorn,Nicky Clark,Dean Shiels,David Templeton,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa Athletic v Rangers 16 August 2015,Alloa Athletic,League,Away,16,August,2015,2015 - 16,5-1,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Nicky Law,Martyn Waghorn,Nathan Oduwa,Nicky Clark,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr Utd v Rangers 19 August 2015,Ayr Utd,Challenge Cup,Away,19,August,2015,2015 - 16,2-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Dominic Ball,Lee Wallace,Barrie McKay,Dean Shiels,Jason Holt,Nicky Clark,Nathan Oduwa,Tom Walsh,Nicky Law,Martyn Waghorn,Fraser Aird,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 23 August 2015,Hibs,League,Home,23,August,2015,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Nicky Law,Martyn Waghorn,Nathan Oduwa,Dean Shiels,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie v Rangers 26 August 2015,Airdrie,League Cup,Away,26,August,2015,2015 - 16,5-0,Win,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Gedion Zelalem,Andy Halliday,Dean Shiels,Nicky Clark,Nathan Oduwa,Martyn Waghorn,Ryan Hardie,Barrie McKay,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the South v Rangers 30 August 2015,Queen of the South,League,Away,30,August,2015,2015 - 16,5-1,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Dominic Ball,Nathan Oduwa,Fraser Aird,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Raith Rovers 5 September 2015,Raith Rovers,League,Home,5,September,2015,2015 - 16,5-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Gedion Zelalem,Nathan Oduwa,Martyn Waghorn,Nicky Law,Kenny Miller,Ryan Hardie,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Livingston 12 September 2015,Livingston,League,Home,12,September,2015,2015 - 16,3-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Gedion Zelalem,Nathan Oduwa,Martyn Waghorn,Kenny Miller,Nicky Law,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbarton v Rangers 19 September 2015,Dumbarton,League,Away,19,September,2015,2015 - 16,2-1,Win,Wes Foderingham,James Tavernier,Danny Wilson,Dominic Ball,Lee Wallace,Barrie McKay,Andy Halliday,Gedion Zelalem,Kenny Miller,Nicky Law,Martyn Waghorn,Nathan Oduwa,Dean Shiels,Fraser Aird,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Johnstone 22 September 2015,St Johnstone,League Cup,Home,22,September,2015,2015 - 16,1-3,Lose,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Gedion Zelalem,Andy Halliday,Jason Holt,Kenny Miller,Nathan Oduwa,Martyn Waghorn,Dean Shiels,Barrie McKay,Nicky Law,,,,,,,,,,,,,,,,,,,,,,,,,
Morton v Rangers 27 September 2015,Morton,League,Away,27,September,2015,2015 - 16,4-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Gedion Zelalem,Nathan Oduwa,Martyn Waghorn,Dean Shiels,Kenny Miller,Nicky Law,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Falkirk 3 October 2015,Falkirk,League,Home,3,October,2015,2015 - 16,3-1,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Dean Shiels,Nathan Oduwa,Martyn Waghorn,Kenny Miller,Nicky Law,Dominic Ball,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen of the South 17 October 2015,Queen of the South,League,Home,17,October,2015,2015 - 16,2-1,Win,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Dean Shiels,Martyn Waghorn,Nicky Law,Nathan Oduwa,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Livingston 20 October 2015,Livingston,Challenge Cup,Home,20,October,2015,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Nicky Law,Nathan Oduwa,Martyn Waghorn,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 25 October 2015,St Mirren,League,Away,25,October,2015,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Dean Shiels,Nicky Clark,Fraser Aird,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 1 November 2015,Hibs,League,Away,1,November,2015,2015 - 16,1-2,Lose,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Danny Wilson,Nicky Clark,Martyn Waghorn,Nathan Oduwa,Gedion Zelalem,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Alloa Athletic 7 November 2015,Alloa Athletic,League,Home,7,November,2015,2015 - 16,4-0,Win,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Nathan Oduwa,Gedion Zelalem,Martyn Waghorn,Dean Shiels,Nicky Clark,Jordan Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
Livingston v Rangers 21 November 2015,Livingston,League,Away,21,November,2015,2015 - 16,1-1,Draw,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Nathan Oduwa,Gedion Zelalem,Martyn Waghorn,Kenny Miller,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 28 November 2015,St Mirren,Challenge Cup,Home,28,November,2015,2015 - 16,4-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Dean Shiels,Nicky Clark,Ryan Hardie,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dumbarton 1 December 2015,Dumbarton,League,Home,1,December,2015,2015 - 16,4-0,Win,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Nicky Clark,Gedion Zelalem,Martyn Waghorn,Kenny Miller,Jordan Thompson,Nathan Oduwa,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Morton 12 December 2015,Morton,League,Home,12,December,2015,2015 - 16,2-2,Draw,Wes Foderingham,James Tavernier,Dominic Ball,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Nicky Clark,Dean Shiels,Nathan Oduwa,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk v Rangers 19 December 2015,Falkirk,League,Away,19,December,2015,2015 - 16,1-2,Lose,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Nathan Oduwa,Dean Shiels,Martyn Waghorn,Kenny Miller,Nicky Law,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 28 December 2015,Hibs,League,Home,28,December,2015,2015 - 16,4-2,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Nicky Law,Martyn Waghorn,Dean Shiels,Nicky Clark,Dominic Ball,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbarton v Rangers 2 January 2016,Dumbarton,League,Away,2,January,2016,2015 - 16,6-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Nicky Law,Martyn Waghorn,Nicky Clark,Dean Shiels,Gedion Zelalem,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Cowdenbeath 10 January 2016,Cowdenbeath,Scottish Cup,Home,10,January,2016,2015 - 16,5-1,Win,Wes Foderingham,James Tavernier,Dominic Ball,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Harry Forrester,Dean Shiels,Ryan Hardie,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Livingston 16 January 2016,Livingston,League,Home,16,January,2016,2015 - 16,4-1,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Nicky Law,Martyn Waghorn,Nicky Clark,Gedion Zelalem,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,
Morton v Rangers 25 January 2016,Morton,League,Away,25,January,2016,2015 - 16,2-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Nicky Law,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Harry Forrester,Dean Shiels,Dominic Ball,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Falkirk 30 January 2016,Falkirk,League,Home,30,January,2016,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Dominic Ball,Nicky Law,Kenny Miller,Dean Shiels,Martyn Waghorn,Billy King,Harry Forrester,Gedion Zelalem,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 2 February 2016,Raith Rovers,League,Away,2,February,2016,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Dominic Ball,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Harry Forrester,Michael O'Halloran,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 6 February 2016,Kilmarnock,Scottish Cup,Home,6,February,2016,2015 - 16,0-0,Draw,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Dominic Ball,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Harry Forrester,Jason Holt,Nicky Law,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa Athletic v Rangers 13 February 2016,Alloa Athletic,League,Away,13,February,2016,2015 - 16,1-1,Draw,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Harry Forrester,Michael O'Halloran,Martyn Waghorn,Billy King,Nicky Clark,Kenny Miller,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 16 February 2016,Kilmarnock,Scottish Cup,Away,16,February,2016,2015 - 16,2-1,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Dominic Ball,Martyn Waghorn,Nicky Clark,Dean Shiels,Harry Forrester,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of the South v Rangers 21 February 2016,Queen of the South,League,Away,21,February,2016,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Billy King,Michael O'Halloran,Nicky Clark,Dean Shiels,Kenny Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 27 February 2016,St Mirren,League,Home,27,February,2016,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Nicky Law,Martyn Waghorn,Billy King,Dean Shiels,Harry Forrester,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Raith Rovers 1 March 2016,Raith Rovers,League,Home,1,March,2016,2015 - 16,2-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Billy King,Andy Halliday,Jason Holt,Harry Forrester,Michael O'Halloran,Nicky Clark,Dean Shiels,Dominic Ball,Liam Burt,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dundee 5 March 2016,Dundee,Scottish Cup,Home,5,March,2016,2015 - 16,4-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Harry Forrester,Dominic Ball,Dean Shiels,Nicky Clark,Nicky Law,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Morton 11 March 2016,Morton,League,Home,11,March,2016,2015 - 16,3-1,Win,Wes Foderingham,James Tavernier,Dominic Ball,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Harry Forrester,Michael O'Halloran,Dean Shiels,Billy King,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk v Rangers 18 March 2016,Falkirk,League,Away,18,March,2016,2015 - 16,2-3,Lose,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Billy King,Dominic Ball,Harry Forrester,Michael O'Halloran,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen of the South 26 March 2016,Queen of the South,League,Home,26,March,2016,2015 - 16,4-3,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Dominic Ball,Andy Halliday,Jason Holt,Kenny Miller,Harry Forrester,Michael O'Halloran,Dean Shiels,Nicky Clark,Nicky Law,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 2 April 2016,Raith Rovers,League,Away,2,April,2016,2015 - 16,3-3,Draw,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Harry Forrester,Michael O'Halloran,Billy King,Dean Shiels,Gedion Zelalem,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dumbarton 5 April 2016,Dumbarton,League,Home,5,April,2016,2015 - 16,1-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Harry Forrester,Billy King,Michael O'Halloran,Dean Shiels,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Peterhead 10 April 2016,Peterhead,Challenge Cup,Neutral,10,April,2016,2015 - 16,4-0,Win,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Harry Forrester,Dominic Ball,Billy King,Michael O'Halloran,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 17 April 2016,Celtic,Scottish Cup,Neutral,17,April,2016,2015 - 16,2-2,Draw,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Dean Shiels,Dominic Ball,Nicky Law,Gedion Zelalem,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 20 April 2016,Hibs,League,Away,20,April,2016,2015 - 16,2-3,Lose,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Michael O'Halloran,Dominic Ball,Gedion Zelalem,Billy King,Dean Shiels,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Alloa Athletic 23 April 2016,Alloa Athletic,League,Home,23,April,2016,2015 - 16,1-1,Draw,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Nicky Clark,Gedion Zelalem,Billy King,Dean Shiels,Kenny Miller,Liam Burt,,,,,,,,,,,,,,,,,,,,,,,,,
Livingston v Rangers 26 April 2016,Livingston,League,Away,26,April,2016,2015 - 16,0-1,Lose,Wes Foderingham,James Tavernier,Dominic Ball,Danny Wilson,Lee Wallace,Dean Shiels,Andy Halliday,Gedion Zelalem,Kenny Miller,Michael O'Halloran,Billy King,Barrie McKay,Jason Holt,Nicky Law,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 1 May 2016,St Mirren,League,Away,1,May,2016,2015 - 16,2-2,Draw,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Dominic Ball,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 21 May 2016,Hibs,Scottish Cup,Neutral,21,May,2016,2015 - 16,2-3,Lose,Wes Foderingham,James Tavernier,Rob Kiernan,Danny Wilson,Lee Wallace,Barrie McKay,Andy Halliday,Jason Holt,Kenny Miller,Gedion Zelalem,Martyn Waghorn,Dean Shiels,Nicky Clark,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Battery v Rangers 6 July 2016,Charleston Battery,Challenge Match,Away,6,July,2016,2016 - 17,2-1,Win,Wes Foderingham,James Tavernier,Oguchi Onyewu,Danny Wilson,Lee Wallace,Andy Halliday,Jason Holt,Josh Windass,Martyn Waghorn,Kenny Miller,Tom Walsh,Clint Hill,Danny Wilson,Michael O'Halloran,Barrie McKay,Tom Walsh,,,,,,,,,,,,,,,,,,,,,,,
Motherwell v Rangers 16 July 2016,Motherwell,League Cup,Away,16,July,2016,2016 - 17,2-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Andy Halliday,Jason Holt,Harry Forrester,Martyn Waghorn,Barrie McKay,Kenny Miller,Michael O'Halloran,Niko Kranjcar,Josh Windass,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Annan Athletic 19 July 2016,Annan Athletic,League Cup,Home,19,July,2016,2016 - 17,2-0,Win,Matt Gilks,Lee Hodson,Clint Hill,Rob Kiernan,Lee Wallace,Andy Halliday,Josh Windass,Niko Kranjcar,Martyn Waghorn,Barrie McKay,Michael O'Halloran,Harry Forrester,Joey Barton,Kenny Miller,,,,,,,,,,,,,,,,,,,,,,,,,
East Stirling v Rangers 22 July 2016,East Stirling,League Cup,Away,22,July,2016,2016 - 17,3-0,Win,Matt Gilks,Lee Hodson,Danny Wilson,Clint Hill,Lee Wallace,Andy Halliday,Josh Windass,Harry Forrester,Michael O'Halloran,Barrie McKay,Kenny Miller,Niko Kranjcar,Joe Dodoo,Jordan Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Stranraer 25 July 2016,Stranraer,League Cup,Home,25,July,2016,2016 - 17,3-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Andy Halliday,Joey Barton,Harry Forrester,Martyn Waghorn,Barrie McKay,Niko Kranjcar,Kenny Miller,Jordan Rossiter,Joe Dodoo,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Burnley 30 July 2016,Burnley,Challenge Match,Home,30,July,2016,2016 - 17,3-1,Win,Wes Foderingham,James Tavernier,Clint Hill,Rob Kiernan,Lee Wallace,Andy Halliday,Joey Barton,Kenny Miller,Martyn Waghorn,Barrie McKay,Niko Kranjcar,Matt Gilks,Danny Wilson,Lee Hodson,Harry Forrester,Jordan Rossiter,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hamilton Acas 6 August 2016,Hamilton Acas,League,Home,6,August,2016,2016 - 17,1-1,Draw,Wes Foderingham,James Tavernier,Clint Hill,Rob Kiernan,Lee Wallace,Andy Halliday,Joey Barton,Kenny Miller,Martyn Waghorn,Barrie McKay,Niko Kranjcar,Michael O'Halloran,Harry Forrester,Jordan Rossiter,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Peterhead 9 August 2016,Peterhead,League Cup,Home,9,August,2016,2016 - 17,5-0,Win,Matt Gilks,James Tavernier,Clint Hill,Rob Kiernan,Lee Hodson,Jordan Rossiter,Joey Barton,Harry Forrester,Michael O'Halloran,Joe Dodoo,Niko Kranjcar,Andy Halliday,Jason Holt,Barrie McKay,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 13 August 2016,Dundee,League,Away,13,August,2016,2016 - 17,2-1,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Andy Halliday,Joey Barton,Harry Forrester,Jordan Rossiter,Barrie McKay,Kenny Miller,Joe Dodoo,Niko Kranjcar,Michael O'Halloran,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 20 August 2016,Motherwell,League,Home,20,August,2016,2016 - 17,2-1,Win,Wes Foderingham,James Tavernier,Danny Wilson,Rob Kiernan,Lee Wallace,Andy Halliday,Joey Barton,Harry Forrester,Jordan Rossiter,Barrie McKay,Kenny Miller,Joe Dodoo,Niko Kranjcar,Michael O'Halloran,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 26 August 2016,Kilmarnock,League,Away,26,August,2016,2016 - 17,1-1,Draw,Wes Foderingham,James Tavernier,Clint Hill,Rob Kiernan,Lee Wallace,Jordan Rossiter,Joey Barton,Harry Forrester,Joe Dodoo,Barrie McKay,Kenny Miller,Joe Garner,Niko Kranjcar,Andy Halliday,,,,,,,,,,,,,,,,,,,,,,,,,
Linfield v Rangers 3 September 2016,Linfield,Challenge Match,Away,3,September,2016,2016 - 17,7-0,Win,Matt Gilks,James Tavernier,Philippe Senderos,Rob Kiernan,Niko Kranjcar,Andy Halliday,Joey Barton,Josh Windass,Harry Forrester,Joe Garner,Kenny Miller,Michael O'Halloran,Clint Hill,Martyn Waghorn,Joe Garner,David Bates,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 10 September 2016,Celtic,League,Away,10,September,2016,2016 - 17,1-5,Lose,Wes Foderingham,James Tavernier,Philippe Senderos,Rob Kiernan,Lee Wallace,Josh Windass,Joey Barton,Niko Kranjcar,Joe Garner,Barrie McKay,Kenny Miller,Andy Halliday,Martyn Waghorn,Harry Forrester,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Ross County 17 September 2016,Ross County,League,Home,17,September,2016,2016 - 17,0-0,Draw,Wes Foderingham,James Tavernier,Danny Wilson,Clint Hill,Lee Wallace,Andy Halliday,Jason Holt,Josh Windass,Martyn Waghorn,Barrie McKay,Joe Garner,Kenny Miller,Michael O'Halloran,Niko Kranjcar,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen of the South 20 September 2016,Queen of the South,League Cup,Home,20,September,2016,2016 - 17,5-0,Win,Matt Gilks,James Tavernier,Danny Wilson,Clint Hill,Lee Hodson,Andy Halliday,Jason Holt,Harry Forrester,Martyn Waghorn,Niko Kranjcar,Michael O'Halloran,Barrie McKay,Matt Crooks,Kenny Miller,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen v Rangers 25 September 2016,Aberdeen,League,Away,25,September,2016,2016 - 17,1-2,Lose,Wes Foderingham,James Tavernier,Danny Wilson,Clint Hill,Lee Wallace,Andy Halliday,Jason Holt,Harry Forrester,Martyn Waghorn,Barrie McKay,Joe Garner,Niko Kranjcar,Michael O'Halloran,Kenny Miller,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 1 October 2016,Partick Thistle,League,Home,1,October,2016,2016 - 17,2-0,Win,Wes Foderingham,James Tavernier,Danny Wilson,Philippe Senderos,Lee Wallace,Andy Halliday,Jason Holt,Niko Kranjcar,Martyn Waghorn,Barrie McKay,Kenny Miller,Joe Dodoo,Joe Garner,Harry Forrester,,,,,,,,,,,,,,,,,,,,,,,,,
Inverness C.T. v Rangers 14 October 2016,Inverness C.T.,League,Away,14,October,2016,2016 - 17,1-0,Win,Wes Foderingham,James Tavernier,Clint Hill,Rob Kiernan,Lee Wallace,Andy Halliday,Jason Holt,Niko Kranjcar,Martyn Waghorn,Barrie McKay,Kenny Miller,Joe Garner,Joe Dodoo,Josh Windass,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 23 October 2016,Celtic,League Cup,Neutral,23,October,2016,2016 - 17,0-1,Lose,Matt Gilks,Lee Hodson,Clint Hill,Rob Kiernan,Lee Wallace,Andy Halliday,Jason Holt,Josh Windass,James Tavernier,Barrie McKay,Kenny Miller,Joe Garner,Martyn Waghorn,Joe Dodoo,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Johnstone 26 October 2016,St Johnstone,League,Home,26,October,2016,2016 - 17,1-1,Draw,Wes Foderingham,Lee Hodson,Clint Hill,Rob Kiernan,Lee Wallace,Andy Halliday,Jason Holt,Harry Forrester,Josh Windass,Joe Garner,Michael O'Halloran,Kenny Miller,Barrie McKay,Martyn Waghorn,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 29 October 2016,Kilmarnock,League,Home,29,October,2016,2016 - 17,3-0,Win,Wes Foderingham,James Tavernier,Clint Hill,Rob Kiernan,Lee Wallace,Andy Halliday,Jason Holt,Josh Windass,Kenny Miller,Joe Garner,Michael O'Halloran,Martyn Waghorn,Joe Dodoo,Matt Crooks,,,,,,,,,,,,,,,,,,,,,,,,,
